排名,电影名称,评分,评论人数,书签
84,心灵捕手,8.9,618427人评价,人生中应该拥有这样的一段豁然开朗。
85,低俗小说,8.9,726770人评价,故事的高级讲法。
86,春光乍泄,9.0,548726人评价,爱情纠缠，男女一致。
87,摩登时代,9.3,256940人评价,大时代中的人生，小人物的悲喜。
88,七宗罪,8.8,839944人评价,警察抓小偷，老鼠玩死猫。
89,喜剧之王,8.8,842068人评价,我是一个演员。
90,致命ID,8.8,705767人评价,最不可能的那个人永远是最可能的。
91,杀人回忆,8.9,601091人评价,关于连环杀人悬案的集体回忆。
92,被嫌弃的松子的一生,8.9,632874人评价,以戏谑来戏谑戏谑。
93,加勒比海盗,8.8,756475人评价,约翰尼·德普的独角戏。
94,红辣椒,9.0,380724人评价,梦的勾结。
95,狩猎,9.1,330563人评价,人言可畏。
96,请以你的名字呼唤我,8.9,611064人评价,沉醉在电影的情感和视听氛围中无法自拔。
97,剪刀手爱德华,8.7,940778人评价,浪漫忧郁的成人童话。
98,功夫,8.7,924398人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
99,超脱,8.9,463012人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
100,7号房的礼物,8.9,480650人评价,《我是山姆》的《美丽人生》。
101,勇敢的心,8.9,512027人评价,史诗大片的典范。
102,哈利·波特与阿兹卡班的囚徒,8.9,587611人评价,不一样的导演，不一样的哈利·波特。
103,断背山,8.8,631835人评价,每个人心中都有一座断背山。
104,天使爱美丽,8.7,883096人评价,法式小清新。
105,唐伯虎点秋香,8.7,929726人评价,华太师是黄霑，吴镇宇四大才子之一。
106,入殓师,8.9,572437人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
107,第六感,8.9,483658人评价,深入内心的恐怖，出人意料的结局。
108,幽灵公主,8.9,465240人评价,人与自然的战争史诗。
109,重庆森林,8.8,697675人评价,寂寞没有期限。
110,小森林 夏秋篇,9.0,372010人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
111,爱在黎明破晓前,8.8,564815人评价,缘分是个连绵词，最美不过一瞬。
112,阳光灿烂的日子,8.8,541636人评价,一场华丽的意淫。
113,一一,9.1,316850人评价,我们都曾经是一一。
114,蝙蝠侠：黑暗骑士崛起,8.8,625588人评价,诺兰就是保证。
115,菊次郎的夏天,8.9,511135人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
116,哈利·波特与密室,8.8,614053人评价,魔法的密室之门已打开...
117,超能陆战队,8.7,883655人评价,Balalala~~~
118,无人知晓,9.1,267635人评价,我的平常生活就是他人的幸福。
119,消失的爱人,8.7,801501人评价,年度最佳date movie。
120,完美的世界,9.1,261168人评价,坏人的好总是比好人的好来得更感人。
121,小森林 冬春篇,9.0,332861人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
122,倩女幽魂,8.8,644614人评价,两张绝世的脸。
123,爱在日落黄昏时,8.9,465871人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
124,侧耳倾听,8.9,403224人评价,少女情怀总是诗。
125,借东西的小人阿莉埃蒂,8.9,478243人评价,曾经的那段美好会沉淀为一辈子的记忆。
